,title,link,content
12,80 Days,/wiki/80_Days_(2014_video_game),"and gameplay  The plot is loosely based on Jules Verne's 1873 novel Around the World in Eighty Days. The year is 1872 and Monsieur Phileas Fogg has placed a wager at the Reform Club that he can circumnavigate the world in eighty days or less. The game follows the course of this adventure, as narrated by Phileas Fogg's manservant Passepartout, whose actions and decisions are controlled by the player.  After leaving London on an underwater train to Paris or a mail carriage to Cambridge, the player can choose their own route around the world, travelling from city to city. Each city and journey contains unique narrative content. The developers estimate that on one complete circumnavigation of the globe players will see approximately 2% of the game's 750,000 words of textual content.[4][5]  In their role as valet, players must manage finances, their master's health, and time as well as buying and selling items in different markets around the globe. The choices made by the player in story sections can also have a large impact on how the journey proceeds.[6]  The game has several secrets, easter eggs and hidden endings, as well as several references to Verne's works, including Twenty Thousand Leagues Under the Sea and From the Earth to the Moon.[7] The game is partly inspired by the steampunk genre, featuring such elements as sapient mechanical transport, hovercraft, submersibles and a city that walks on four gigantic legs.  "
13,9 Monkeys of Shaolin,/wiki/9_Monkeys_of_Shaolin," There are five enemy clans in the in Wokou in the game, one for each chapter. Each clan leader wears a mask from the Japanese Noh theatre, which reflects their personality. The leaders' names are pseudonyms taken from the mask names.  At the end of each mission, the player gets improvement points that can be spent in the camp of the teaching monk. A conversation with him will bring up a single branched technique tree, in which the main improvement subject are different combinations and techniques for each of the three stands.  Multiplayer is available as a co-op mode of the same story campaign as in single-player mode. Two players can participate in the co-op mode, either online or on a local area network.[2]   China, Year of the Water Monkey (1572). The hero of the game is a fisherman called Wei Cheng (voiced by Daisuke Tsuji). His parents died at the hands of the Wokou when he was a child. Wei Cheng was taken in by his grandfather, who taught him the fishing business, as well as how to fight with a staff, with this knowledge being passed down from generation to generation in their family.   The game begins when the village is attacked by bandits. Grandfather was killed and Wei was badly wounded by their leader in a red mask. Buddhist monks find Wei Cheng bleeding and carry him to one of the local fortified houses. The hero regains consciousness and finds monks standing in front of him. They say that the village has been completely destroyed, there are almost no survivors, and that there were no ordinary bandits but the Wokou. Their group was sent from Shaolin to help defend both the Buddhist monasteries and the ordinary people but they did not get there in time. Wei Cheng offers to help seven monks and one smuggler.   In cooperation mode the second player is the youngest of monks called Daoshan.  "
15,99Vidas,/wiki/99Vidas," 99Vidas is a side-scrolling beat 'em up initially featuring six playable characters. Five more unlocked through multiple play sessions, bringing the total number of playable characters to 11. It features cooperative and competitive game modes, for up to four players, which can be played either locally or online.[3]  Each character has unique attributes such as speed and strength, as well as an elemental alignment (fire, water, wind, lightning, et al.), which dictates the quality of their attacks, combos and special moves. Characters gain experience points by defeating enemies and collecting special items which can then be used by the player to upgrade their abilities and combos, or to unlock new ones.[3]  The campaign and survival modes can be played solo or by up to four players cooperatively. In campaign mode, players progress through the story together, while in survival, they face unending waves of enemies, with a limited number of lives and ever-increasing difficulty, the objective being attaining high scores, which are posted to an arcade-style leaderboard.[citation needed] In versus mode, two to four players can play head-to-head competitive matches, where the last one standing wins.[3]   99Vidas is set in an anachronistic fictional universe inspired by 1980s and 1990s pop culture and video game aesthetic. The story starts as an artifact known as 99Vidas goes missing. This artifact is believed to hold such great power it is a menace to the very existence of the universe, should it ever fall into the wrong hands. Players play as ""guardians"" of 99Vidas, heroes with elemental powers whose duty it is to protect the artifact.[3]  "
17,Aaero,/wiki/Aaero," The basic controls are that of a twin-stick shooter, the left stick controlling the ship while the right controls targeting.  Mike Fahey of Kotaku says: ""Aaero sees players navigating through alien environments in a futuristic flying craft. As the music plays, ribbons of light bend and twist in the air, visualizing aspects of the song. Sometimes it's vocals. Sometimes it's strange electronic wails. Using the left analog stick (required even in the PC version), players must grind against those ribbons in order to absorb the energy of the music.""[3]  He goes on to describe the shooting element of the gameplay: ""The game's tunnel-like environments warp and twist to impede the player, each new level bringing unique obstacles and traps into play. Odd mechanical enemies attack from time to time, with the game employing a target lock and fire mechanic using a combination of right analog and trigger.""[4]  In his review for Forbes, Mitch Wallace describes the gameplay: ""The general on-rail, twin-stick shooting setup is deceptively simple: Pilot a nondescript spaceship through various alien and possibly post-apocalyptic stages, gunning down enemies and tracing ribbons of light as you go.""[5]  "
18,Absolute Drift,/wiki/Absolute_Drift," Absolute Drift features 5 free roam areas and 34 tracks. In the free roam areas, there are various objectives for the player to complete which unlock more levels and cars. The tracks also have objectives to complete, including gaining points in a drift-based scoring system.[1]  "
19,Abyss of the Sacrifice,/wiki/Abyss_of_the_Sacrifice," Abyss of the Sacrifice has two modes of gameplay. The first mode requires little interaction on the player's part as much of the player's time will be spent on reading the text that appears on the game's screen. These lines of text represents either the inner thoughts of the characters or the conversation the characters are having with one another. After a stage has been completed, the player will be presented with a screen displaying the possible stages that the player can advance to.[2] Stages that have been completed will be highlighted in blue whereas those that have not been played will be in orange.[2] Each row of stages has a character's name attached to it which will determine which character will be the main character. As stages are completed, more stages will become available.[2] The ending of the game will differ based on the stages that have been selected.[2]  The second mode is more closely connected to adventure games. The player is tasked with the need to investigate different scenes to find clues and items.[1] It is even possible to combine items together to create new items.[1] The player will then try to solve the puzzles in the game using the information and items they have acquired.[2]   "
20,Abzû,/wiki/Abz%C3%BB," In Abzû, the player takes on the role of a diver in a vast ocean—after waking up floating on the ocean's surface, the diver begins exploring the surrounding underwater environments filled with plant and animal life, in addition to uncovering ancient technology and submerged ruins.[2][3] In a few areas, the diver is also able to explore land-based environments above the water.[4] As the game progresses, the diver unlocks new areas and pursues the secrets behind the forces harming the local environment.[5] The diver's course through the game follows a linear path through interconnected areas filled with marine life.[2] The player directs the diver through the environments using full analogue control, able to interact with the environment to solve switch or item-based puzzles, and the ability to meditate which grants the character the ability to sit on the shark-shaped pedestals within each area to observe the surrounding sea life. The diver can accelerate, and interact with marine life using sonar chimes.[3][4][6] The diver can grab onto the bodies of larger marine animals and ride on them.[4] Each area sports hidden collectables for the diver to find.[6]  "
23,Actraiser Renaissance,/wiki/Actraiser_Renaissance," The player plays as ""The Master"", the main protagonist of the game. Although the Master is never directly controlled, the player interacts with the world by controlling an angel and an animated statue. The player plays as an angel during the simulation sequences of the game, and as the statue during the action sequences.  The overhead-view simulation mode involves protecting and guiding the Master's new civilization towards prosperity, beginning with two humans. This portion of the game requires the player to take actions that encourage the growth of the population, including road planning and using lightning, rain, sunlight, wind, and earthquakes as miracles. The Angel can interact with the monsters in the area by shooting them with arrows as well as aid the Master by indicating where to build and use miracles.  One obstacle in the simulation mode is the presence of flying monsters that attempt to impede the progression of a civilization. The monsters originate from four lairs around the region at the beginning of each level. They continuously spawn the creatures as the servant kills them. As the population expands, it can seal the lairs of monsters, which prevents them from spawning, and eventually eliminate all the flying monsters in the land. Doing so increases the civilization level of the region, allowing more advanced structures to be built and increasing the potential population. Once all four lairs have been sealed the population will begin to build the most advanced homes available to the people in that region. The Master levels up by increasing the total population of the world, granting an increase in hit points and SP, used in performing miracles.  Each area has two side-scrolling action sequences, one before the building simulation and near the end. In the action sequences, the player controls a humanlike statue brought to life by the Master. The player must jump from platform to platform while defeating monsters to accrue a score. At the end of each action sequence, the player must defeat a boss.  The final level is an action-sequence boss marathon, culminating in the final fight against Tanzra.   The plot follows a godlike being known only as ""The Master"" (God in the Japanese version) in his fight against Tanzra (Satan in the Japanese version), also referred to as ""The Evil One"". According to the instruction booklet, The Master was defeated in a battle with Tanzra and his six lieutenants. The Master retreated to his sky palace to tend to his wounds and fell into a deep sleep. In the Master's absence, Tanzra divided the world into six lands, one for each of his lieutenants; they later turned the people to evil.  After several hundred years, the Master awakens fully recovered to discover that he has lost his powers due to the lack of belief in him. As the game progresses, the Master defeats Tanzra's lieutenants and recovers his powers by rebuilding the civilizations of his people and communicating with them through prayer. After all lieutenants have been slain, the Master commences an assault on Tanzra's stronghold, Death Heim, eventually defeating him.  After the defeat of Tanzra, The Master and his servant revisit the many civilizations that they had helped to build and observe the people. During their observations, they note that nobody is at the temple worshiping the Master. The servant observes that, although the people once prayed to the Master in times of trouble, they no longer feel a need to because they are not in danger. The Master and his servant then enter the sky palace and depart into the heavens to await a time when they may be needed.  "
27,Adventures of Pip,/wiki/Adventures_of_Pip," In Adventures of Pip, the player plays as Pip, a single pixel born into a world of hi-res and lo-res characters.  As Pip defeats his enemies, he gains the ability to evolve into an 8-bit hero and later a 16-bit hero.  Each evolution has its advantages and disadvantages.  Pip must switch between his evolutions to complete levels. Players will need to evolve and devolve, wall jump, run, shove, break blocks, float, collect, and fight their way through bosses and henchmen till they get to the Evil Queen DeRezia.[2][3]   An evil witch has come and turned the King and Queen into pixels and kidnapped Princess Adeline. It is up to Pip to venture forth and navigate the strange landscapes to rescue the damsel in distress from the clutches of Queen DeRezzia.[4][5]  "
28,Aegis Defenders,/wiki/Aegis_Defenders," In Aegis Defenders, players control a team of up to 4 characters. In addition to running, jumping, and attacking, each character has a unique sub-ability and can build a unique item. Players can use ""cross fusion"" to combine items into more powerful ones.  Each level is usually split into exploration and tower defense phases. The exploration phase consists of platforming and puzzle solving. During the tower defense phase, players must protect their base (an important person or object) from waves of approaching enemies. There are 18 levels in the story campaign plus 3 bonus levels featuring crossover characters from other Kickstarter games including Shovel Knight, Lunais from Timespinner, and Derpl Zork from Awesomenauts.[2]   Aegis Defenders follows a pair of Ruinhunters, Bart and his grand daughter Clu, as they discover a powerful weapon known as Aegis and embark on a quest to prevent it from falling into the hands of an evil empire. Along the way they join forces with Kobo the companion drone, Kaiim the monk, and Zula the bandit.  "
29,Afterparty,/wiki/Afterparty_(video_game)," Lifelong friends and recent college graduates Milo and Lola find themselves in Hell, with no recollection of how they came to be there. After being assigned a Personal Demon, Sister Mary Wormhorn, they meet Sam, a psychopomp cab driver. Sam explains that while demons torture humans during work hours, both groups enjoy the nights drinking and partying together. The only way out of Hell is to outdrink and out-party Satan himself. After procuring an invite to Lucifer's party, Milo and Lola meet the host himself, who demands they prove their abilities by obtaining seals of approval from his brothers and sisters, the Monarchs of Hell.  One of the Monarchs is Apollyon, a judge of the Dead. Milo and Lola sneak into a demons-only bar to find her. Apollyon sees through their disguises and agrees to give them a seal if they serve as lawyers for Roberto, a soul charged with serial murder. Milo and Lola can either throw the trial per Apollyon's wishes, or let Roberto ascend to heaven and challenge Apollyon afterward; either way, Apollyon will give the pair her seal.  Another Monarch is the hard-partying Asmodeus, who is trying to forget about his recent breakup with his ex, Beth. Milo and Lola can either get Asmodeus and Beth back together or beat Asmodeus in a dance-off to obtain the necessary seal.  Having obtained the needed seals, Milo and Lola return to Satan's party, with a team of challengers drawn from the people they have befriended during the night. Apollyon attempts an intervention, feeling that Satan's drinking is out of control and Hell is suffering because of it, but Satan angrily teleports Milo and Lola away to continue the drinking contest.  The game has multiple endings, depending on Milo and Lola's performance in the drinking game. If they win, they are sent back to Earth and resume their lives. If they lose the contest or refuse to play, they remain in Hell. Some time afterward, Milo and Lola relax at a bar and discuss the current situation; depending on the player's actions, Satan can be recovering from his addictions or have fallen off the wagon, but Hell appears to be running better. Sam bursts in, having discovered another way to possibly escape Hell, to which Milo and Lola immediately agree.  "
32,Agony,/wiki/Agony_(2018_video_game)," The game is played from a first-person perspective. The player controls one of the Martyrs condemned to Hell, Amraphel (aka Nimrod) tasked with meeting the Red Goddess, one of the creators of Hell, in an effort to escape and return to the land of the living. Unlike other Martyrs, the player possesses the unique ability to possess both other Martyrs and, later in the game, lesser and higher demons, giving them access to special abilities. Using mechanics such as crouching and holding their breath, the player can avoid demons. Besides hiding, the player needs to solve puzzles in order to unlock new areas. There are available hidden statues that the player can collect, as well as paintings which are possible to discover.   The story follows a lost soul trapped in Hell without any memory of his former life. From what is revealed of the protagonist's backstory, he was a king of an ancient land who made a Faustian bargain with the Red Goddess. In-story, he is referred to as both Nimrod by the Goddess and Amraphel by other condemned souls, some of whom still have their memories, blaming the protagonist for them being damned to Hell because of the acts he committed while alive. As the protagonist wanders through the wastelands of Hell, he discovers a possibility of escaping through the aid of the Red Goddess. Determined, he travels to the Red Goddess' lair to learn how he can be set free.  If the player obeys the Red Goddess's commands, they will ultimately venture to the lowest depths of Hell, provoking a creature known only as the Beast. Sufficiently wearing down the Beast, the protagonist is able to possess it, using its power to break the seals binding it to the lower depths. Satisfied, the Red Goddess reveals herself as the Whore of Babylon and vows to use the Beast to begin the Apocalypse. The protagonist is returned to the living world, per his deal, only to be killed by the Beast moments later as the Red Goddess begins her conquest of Earth, leaving the player's soul to return to Hell.  The story features multiple other endings, dependent on how the player progresses and the choices they make. However, only two of these are canonical.  "
35,Air,/wiki/Air_(video_game)," Air is a romance visual novel in which the player assumes the role of three characters.[1] Much of its gameplay is spent on reading the story's narrative and dialogue. Air follows a branching plot line with multiple endings, and depending on the decisions that the player makes during the game, the plot will progress in a specific direction.[1] With the consumer ports, if an undesired choice was selected, there would be an option to rewind the story to correct the mistake. However, if the player reaches a bad end to a storyline, the player does not have this option and must reload the game at the last saved point.  There are five main plot lines that the player will have the chance to experience, three which are initially available and two more which can later become available.[1] Throughout gameplay, the player is given multiple options to choose from, and text progression pauses at these points until a choice is made. To view all plot lines in their entirety, the player will have to replay the game multiple times and choose different choices to further the plot to an alternate direction.  When first playing the game, the player assumes the role of Yukito Kunisaki and the scenarios for the three heroines are available in what is called the Dream story arc. After the plot lines for these three heroines have been completed, an additional scenario called Summer is made available where the player assumes the role of Ryūya. Summer is a linear novel arc in which no choices are presented to the player.[2] Upon the completion of the Summer route, another scenario called Air is made available, which serves as the true ending to the story. In Air, the player assumes the role of a crow named Sora.[1] In the adult versions of the game, there are scenes with sexual CGs depicting Yukito and a given heroine having sex.[3] Later, Key released versions of Air without the erotic content.[3]   "
